Year	Country	Bending	Reuse	Variance	Covariance	Exports	Imports	Consumption	Max Flow Reuse	Min Flow Reuse	Leontief Reuse
2011	AUS	0.41914062499999993	0.16265971006932956	3.041982827436301E-6	-8.944236883783439E-4	326818.230258	304332.96748799994	1417152.1087129998	0.524096203604625	0.0	0.13742871970081325
2011	AUT	0.7250976562500002	0.44086726241369617	1.7360750813952007E-6	1.7391223155604173E-4	212266.792139	200016.475498	388543.004344	0.5856141800578943	0.14430445186141827	0.34209871085163396
2011	BEL	0.7636718750000002	0.5414724011539377	3.095232280744013E-6	5.688905300265405E-4	371397.632186	349087.3259060002	474726.774586	0.6547464164182318	0.29689661394173156	0.45950785475281053
2011	BGR	0.687109375	0.4431343224365759	3.6776814131559174E-6	6.630052085170599E-4	23898.362875000003	27470.140026999998	50675.842111	0.734292241179303	0.0030546245105499592	0.3467330085581099
2011	BRA	0.5527343749999999	0.17800132500757057	6.479778436746011E-7	5.26550188398331E-4	294453.4471530001	299324.09369400016	2256495.429986	0.6367411033248276	1.9768035143165532E-16	0.11892759009632643
2011	CAN	0.562109375	0.2578464902960739	6.246266483971748E-6	6.37958208970444E-4	518169.6416500001	514288.19289500004	1661648.036367	0.5358460151695763	2.8156524094153014E-5	0.20229180127345808
2011	CHN	0.675390625	0.2593837550543554	5.400290374914961E-6	-0.004085817305638175	2086189.1641129998	1791452.5906279997	7092210.466659	0.6878417162583221	0.0	0.21562566194228155
2011	CYP	0.46845703124999993	0.32261905529825513	9.306596150933696E-6	0.001246109694311595	4868.039617999993	9139.973984000004	27417.929842999998	0.811930060590563	0.06986271983951617	0.26017000744700414
2011	CZE	0.7824218750000002	0.5451726560529562	4.202162329838214E-6	2.95392978148435E-4	164829.45118300003	150593.04557399996	190373.213435	0.6724597510243475	0.3035554430952356	0.46454750679564816
2011	DEU	0.692578125	0.33961189096783423	2.159943281348484E-6	-2.211597915037926E-4	1602979.1313000007	1304427.8025220006	3191065.836748	0.49394312823141584	0.055322551737202276	0.2724059127818129
2011	DNK	0.7040039062500001	0.4292395425088728	7.72220840362824E-6	1.0768359850170839E-4	159117.51981	136733.32682199997	284718.73495	0.5699397690856957	0.21986663243478577	0.3714512827247227
2011	ESP	0.7503906250000001	0.4012864216554953	4.067913557791982E-6	-1.8360810358805313E-4	386533.80631300004	428282.51287599996	1489128.682707	0.717805073197988	0.05984487740839047	0.29691293776497585
2011	EST	0.6363281249999999	0.3878857474839237	3.7248841920565767E-6	-2.078163673124983E-4	11484.274584999996	10239.277872999995	19463.919539	0.564733164293285	0.11852635070027782	0.32733305294790666
2011	FIN	0.6707031250000001	0.4136121442412238	1.8509520939111586E-5	-1.3927499817927044E-4	104298.30734999999	102165.91175500001	243651.005878	0.6834664599281245	0.07141604109647133	0.344483824447295
2011	FRA	0.7613281250000001	0.385191052250458	4.317213143135516E-6	-0.0011197185947523303	691459.8872880002	747139.6169080003	2732499.2841350003	0.6607066225502052	0.026564716270156403	0.2851641633895571
2011	GBR	0.574609375	0.26436361058959534	1.5809530460902164E-5	0.0014114138644399116	701475.354034	715533.8121349994	2349654.854332	0.5391936258670996	0.05191095838448402	0.21590012304393685
2011	GRC	0.449609375	0.2996651589138632	1.4838081946534096E-5	9.916966773511331E-6	42560.67721999999	83517.59708099994	325848.243274	0.6974360814693826	0.10082570817231928	0.2426877983185892
2011	HUN	0.7274414062500003	0.548041406958219	3.7161978855326837E-6	1.577780749846276E-4	114320.01827499997	105574.60038400005	124188.589498	0.6720723886098421	0.26984072998303615	0.4596032140561146
2011	IDN	0.10146484375	0.15103351165953563	1.3838127226701154E-5	1.5011758214532878E-4	218789.1902239999	195968.79205100014	832968.360793	0.5832290401109709	0.009255765935815603	0.1462861636849354
2011	IND	0.687109375	0.3049871832428856	1.1263297721612871E-5	0.0019186125451290722	338087.9501640001	376792.9025850004	1924106.619251	0.7915190187677231	0.04971260352475524	0.21687698196681354
2011	IRL	0.594140625	0.48551908672504085	4.201221121781185E-6	-6.004515931343625E-4	217243.02280700012	164753.28914900008	159065.588372	0.5760111414172784	0.3209963308186534	0.4456734519620244
2011	ITA	0.7215820312500001	0.3721684066554182	4.5810630735581755E-6	0.0012961098214792385	596636.674168	621037.8420149997	2123707.589655	0.6649987626460928	0.0208223360327698	0.2706205729868391
2011	JPN	0.7104492187500002	0.2410616972339621	5.507864811308877E-6	-8.120533721390452E-4	895486.5191160002	870637.1507419999	5878860.891598	0.6583771235115914	0.0	0.1684162779790576
2011	KOR	0.7104492187500002	0.45971401400500395	6.23993140808415E-6	-8.066467075459491E-4	612792.9435330001	552991.8694190003	1025119.756263	0.6959274359905133	0.1165392167675218	0.40077988374418005
2011	LTU	0.630859375	0.4204291607935535	7.110353821972841E-6	1.58902829288306E-4	20509.330216999995	21148.06832	40807.078727	0.5940064570661544	0.14548792537002028	0.33458023562289124
2011	LUX	0.74091796875	0.6420138532285364	1.3337224478132938E-5	-3.45703106293119E-4	90521.8974429999	72854.23505799998	40689.337355	0.6710861511962002	0.5353964814371861	0.6123669637325752
2011	LVA	0.5652343750000001	0.3091420381074578	9.950459169891453E-7	8.42449505101673E-4	10529.416661999998	10985.575492999993	27400.548715	0.6008065061980732	0.046885694796527023	0.24283994074767323
2011	MEX	0.644140625	0.36262463248484894	1.7129430352817867E-5	-0.0013485256457706743	343625.1902160003	342163.7754590004	1145353.469727	0.5897914299723052	0.1480846676112822	0.3003179412278621
