year,country,pref,reuse,variance,covariance,exports,imports,consumption,maxflowreuse,leontiefreuse,impshare,logsize
1996,CHN,.28564453,.23191729,2.1562419e-06,.0027436758,171683.66,143958.44,835133.88,.59240347,.1423087,.14298365,13.822305
1996,CYP,.6338135,.48233682,.000038522176,-.00006657029,2132.4482,4188.4321,10875.515,1,.29353338,.32198986,9.4733171
1996,CZE,.30112305,.39788625,2.7565759e-06,-.00045657583,27102.955,30603.807,63209.359,.71678066,.28196746,.33886638,11.411029
1996,DEU,.46923828,.28124881,.00001183047,-.0035201623,581114.5,498306.5,2228111.8,.48110181,.17383896,.17738211,14.848419
1996,DNK,.42495117,.32027248,.000020382082,.0014889051,64834.832,53513.559,157450.59,.4851172,.26188105,.24074255,12.311718
1996,ESP,.46533203,.3276673,.000044654742,-.000016236596,121019.91,133889.72,610227.81,.67279696,.20434959,.18309762,13.502507
1996,EST,.44780272,.51298004,8.6725931e-06,.00064576871,2402.301,3144.9912,5250.4614,.78281486,.37236595,.41096157,8.9428215
1996,FIN,.35117188,.31116545,.000018612902,.00022519914,46729.957,36045.813,109446.42,.50992197,.24007531,.23080195,11.958741
1996,FRA,.52878416,.33389965,.00011317353,-.0029127093,339102.44,302975.84,1446853.1,.54078096,.20086968,.16964355,14.395464
1996,GBR,.42143553,.29893914,5.6748063e-06,.001482865,334168.19,313056,1139229.4,.55011988,.19849303,.21247219,14.203081
1996,GRC,.55810547,.35933205,.000026528032,-.0018780981,10151.808,29656.004,151374.31,1,.19145727,.18359882,11.992422
1996,HUN,.43286133,.47698674,6.1231267e-06,-.00021664606,17439.83,19801.574,45337.043,.81408882,.2965906,.31542784,11.047342
1996,IDN,.36289063,.24975017,.00003302424,-.00067229464,61053.574,58053.246,277542.72,.69830394,.14449531,.17145269,12.732564
1996,IND,.42231447,.2143511,.000024598066,-.0026625297,44308.734,45931.418,394867.28,.75293213,.10414393,.10458544,12.992656
1996,IRL,.30249023,.44179639,7.4762843e-06,-.00030677597,52335.352,41997.391,58906.438,.58170843,.38628483,.37753251,11.619461
1996,ITA,.48388672,.31925964,.000055975019,.0027040178,284159.03,232407,1148930.4,.52311164,.16885215,.16217202,14.175344
1996,JPN,.44999999,.14942372,.000024121189,.00069746841,455957.59,378258.28,4543005,.5047785,.07369718,.075667359,15.424741
1996,KOR,.40649414,.37511045,.000017139449,-.001497952,154773.78,157516.02,554234.94,.71710455,.25044292,.22216372,13.471623
1996,LTU,.44956055,.47887191,.000022660251,.0014531099,3562.3162,4409.3955,8824.3066,.76581818,.33197948,.35598046,9.4243727
1996,LUX,.30659181,.4990027,5.5304181e-06,-.000089242763,20028.557,16564.074,16107.995,.59341472,.4726319,.4583745,10.49506
1996,LVA,.37539062,.38125688,3.3984809e-06,-.00096559251,2300.4133,2566.3245,5614.2212,.69067556,.26911181,.32425052,8.976469
1996,MEX,.59033203,.41805184,.00010973201,.00043358633,99275.953,89773.445,356026.91,.66879094,.26500809,.19717303,13.028718
1996,MLT,.58974612,.63386297,.000057534031,-.00055320922,2118.2627,2989.7881,4382.6318,.83433455,.47556353,.4599041,8.7796955
1996,NLD,.41879883,.41472006,6.8771219e-06,-.00059918675,217152.72,184335.77,367781.13,.55736148,.3176643,.3151395,13.279254
1996,POL,.44956055,.32573879,.000027454817,.0011401901,34981.328,35401.547,148532.53,.62258017,.18412441,.19290939,12.120046
1996,PRT,.49072266,.42764848,.000010536438,-.00062527915,29019.02,38006.285,119754.49,.79615539,.27437609,.25546405,11.91018
1996,ROM,.34760743,.36866021,6.4887486e-06,-.00098559703,9424.8926,12150.288,38844.293,.93455476,.2542311,.25171936,10.784549
