Year;Country;Bending;Reuse;Variance;Covariance;Exports;Imports;Consumption;Max Flow Reuse;Min Flow Reuse;Leontief Reuse
2011;TWN;0.738574219;0.514873644;4.80E-06;-7.43E-04;338208.6779;293689.3705;414900.311;0.645883891;0.347865121;0.472809947
2011;USA;0.648828125;0.213881994;1.41E-05;-0.001232692;1841074.87;2398985.404;1.57E+07;0.772907939;0;0.149152827
2010;AUS;0.401171875;0.144670227;2.48E-06;4.95E-04;273733.2837;240089.8933;1205603.405;0.48166213;0;0.123095803
2010;AUT;0.719824219;0.417396475;1.87E-06;-6.14E-04;179111.3492;165293.9424;346888.5774;0.565483607;0.122633608;0.321555853
2010;BEL;0.749121094;0.514318759;2.28E-06;-5.82E-04;322584.6403;298178.2942;430450.2042;0.630731466;0.259430039;0.431960996
2010;BGR;0.687890625;0.444148842;4.18E-06;-0.002981107;21334.01389;24512.33355;45234.28786;0.73362043;0.003096145;0.346554669
2010;BRA;0.542578125;0.158030204;5.77E-07;-1.83E-05;232982.246;235979.0571;1970776.637;0.634507755;0;0.105465993
2010;CAN;0.574609375;0.260401031;7.30E-06;5.22E-04;449279.4349;456234.5499;1516270.046;0.547536123;1.30E-16;0.201949085
2010;CHN;0.687890625;0.254997908;4.63E-06;-5.97E-04;1743486.41;1433395.773;5687223.392;0.641251235;0;0.212360328
2010;CYP;0.469042969;0.322119668;9.27E-06;-1.98E-04;4524.51134;8483.884251;25474.10315;0.812071791;0.069831951;0.259531506
2010;CZE;0.790234375;0.539825592;5.38E-06;1.94E-04;136855.5518;126404.0674;175656.2894;0.679062385;0.277065795;0.451018069
2010;DEU;0.690234375;0.325408071;2.15E-06;5.77E-04;1391738.951;1107225.283;2890038.72;0.478738363;0.04570288;0.260715204
2010;DNK;0.697265625;0.411998929;1.02E-05;-4.67E-04;141872.7356;121416.0352;268067.5775;0.551182181;0.199985895;0.355394561
2010;ESP;0.736816406;0.378229412;4.15E-06;1.74E-04;322167.1716;380447.8297;1415886.44;0.742104805;0.017164204;0.273038446
2010;EST;0.637109375;0.386854613;3.75E-06;4.13E-06;9835.29309;8765.490445;16667.32175;0.563149326;0.118410023;0.326654486
2010;FIN;0.658203125;0.38811435;1.60E-05;-1.89E-04;93309.53474;86651.94404;214919.5371;0.641957492;0.075549603;0.326657534
2010;FRA;0.762109375;0.364484521;4.60E-06;0.004531417;609073.76;642703.1532;2512759.522;0.637918892;0.001004813;0.26799404
2010;GBR;0.562109375;0.250326557;1.32E-05;7.60E-04;617534.523;639541.134;2196081.211;0.53622084;0.039650686;0.203855764
2010;GRC;0.454980469;0.299445035;1.36E-05;-6.15E-04;42838.23783;83993.9386;327916.0453;0.697495424;0.099771738;0.241873273
2010;HUN;0.729199219;0.542786958;5.05E-06;-2.30E-04;97512.05486;90529.20677;113839.5867;0.67280486;0.272374103;0.454684593
