1	DEU	0	0.159551919	2.06E-09
2	DEU	0	0.162633554	1.80E-05
3	DEU	0	0.166615492	2.05E-05
4	DEU	0	0.168563106	4.94E-05
5	DEU	0	0.169572372	4.75E-05
6	DEU	0	0.173810137	4.28E-05
7	DEU	0	0.176763623	9.38E-05
8	DEU	0	0.181151588	9.77E-05
9	DEU	0	0.183116965	1.23E-04
10	DEU	0	0.184774178	1.23E-04
11	DEU	0	0.184918975	1.32E-04
12	DEU	0	0.186562915	1.41E-04
13	DEU	0	0.189033746	1.55E-04
14	DEU	0	0.189967182	1.40E-04
15	DEU	0	0.193505757	1.20E-04
16	DEU	0	0.195211221	1.20E-04
17	DEU	0	0.200026116	2.74E-04
18	DEU	0	0.201783774	2.68E-04
19	DEU	0	0.202683258	2.91E-04
20	DEU	0	0.204245972	2.47E-04
21	DEU	0	0.204826415	2.54E-04
22	DEU	0	0.20549051	2.39E-04
23	DEU	0	0.207018249	2.62E-04
24	DEU	0	0.21270368	2.64E-04
25	DEU	0	0.213103207	2.54E-04
26	DEU	0	0.215556676	2.21E-04
27	DEU	0	0.217690872	2.50E-04
28	DEU	0	0.222403302	1.60E-04
29	DEU	0	0.224983687	2.03E-04
30	DEU	0	0.227117891	1.30E-04
31	DEU	0	0.230184781	1.11E-04
32	DEU	0	0.240194746	9.65E-06
33	DEU	0	0.241104457	6.65E-06
34	DEU	0	0.241735017	5.79E-06
35	DEU	0	0.241690424	6.37E-33
1	DEU	0.1	0.169906927	3.46E-11
2	DEU	0.1	0.172998571	1.83E-05
3	DEU	0.1	0.176914387	2.02E-05
4	DEU	0.1	0.178764514	4.81E-05
5	DEU	0.1	0.179689332	4.55E-05
6	DEU	0.1	0.183702716	4.17E-05
7	DEU	0.1	0.186539906	8.95E-05
8	DEU	0.1	0.19069792	9.49E-05
9	DEU	0.1	0.192594176	1.17E-04
10	DEU	0.1	0.194196695	1.18E-04
11	DEU	0.1	0.19420143	1.27E-04
12	DEU	0.1	0.195743026	1.35E-04
13	DEU	0.1	0.198078922	1.49E-04
14	DEU	0.1	0.198955048	1.32E-04
15	DEU	0.1	0.202283714	1.10E-04
16	DEU	0.1	0.203914011	1.10E-04
17	DEU	0.1	0.208601921	2.56E-04
18	DEU	0.1	0.210247811	2.48E-04
19	DEU	0.1	0.211151151	2.71E-04
20	DEU	0.1	0.212692149	2.30E-04
21	DEU	0.1	0.213275975	2.37E-04
22	DEU	0.1	0.213855514	2.25E-04
23	DEU	0.1	0.215205831	2.39E-04
24	DEU	0.1	0.220590065	2.39E-04
25	DEU	0.1	0.220914951	2.31E-04
26	DEU	0.1	0.223210576	2.02E-04
27	DEU	0.1	0.225201236	2.29E-04
28	DEU	0.1	0.229862351	1.43E-04
29	DEU	0.1	0.232281978	1.84E-04
30	DEU	0.1	0.234252302	1.21E-04
31	DEU	0.1	0.237118311	1.04E-04
32	DEU	0.1	0.246629032	1.00E-05
33	DEU	0.1	0.247497945	7.08E-06
34	DEU	0.1	0.248125534	6.23E-06
35	DEU	0.1	0.248233766	2.47E-32
1	DEU	0.2	0.18218135	9.56E-13
2	DEU	0.2	0.185238207	1.84E-05
3	DEU	0.2	0.189056712	1.96E-05
4	DEU	0.2	0.190789731	4.60E-05
5	DEU	0.2	0.191611544	4.26E-05
6	DEU	0.2	0.195330541	3.97E-05
7	DEU	0.2	0.198022701	8.32E-05
8	DEU	0.2	0.201915763	9.03E-05
9	DEU	0.2	0.203768233	1.09E-04
10	DEU	0.2	0.205289043	1.09E-04
11	DEU	0.2	0.205115302	1.20E-04
12	DEU	0.2	0.206542089	1.26E-04
13	DEU	0.2	0.208704258	1.40E-04
14	DEU	0.2	0.209493163	1.23E-04
15	DEU	0.2	0.212584397	9.93E-05
16	DEU	0.2	0.214115437	9.92E-05
17	DEU	0.2	0.218620484	2.35E-04
18	DEU	0.2	0.2201561	2.26E-04
19	DEU	0.2	0.221061084	2.47E-04
20	DEU	0.2	0.222587399	2.09E-04
21	DEU	0.2	0.223174709	2.17E-04
22	DEU	0.2	0.223666077	2.07E-04
23	DEU	0.2	0.224826186	2.12E-04
24	DEU	0.2	0.229829125	2.10E-04
25	DEU	0.2	0.230094524	2.04E-04
26	DEU	0.2	0.232183148	1.79E-04
27	DEU	0.2	0.234013388	2.03E-04
28	DEU	0.2	0.238580703	1.24E-04
29	DEU	0.2	0.24082243	1.64E-04
30	DEU	0.2	0.242558137	1.11E-04
31	DEU	0.2	0.245198726	9.72E-05
32	DEU	0.2	0.254090695	1.07E-05
33	DEU	0.2	0.254917779	7.75E-06
34	DEU	0.2	0.255541199	6.82E-06
35	DEU	0.2	0.255570138	1.04E-32
1	DEU	0.3	0.196950394	1.43E-14
2	DEU	0.3	0.199907891	1.83E-05
3	DEU	0.3	0.20357617	1.86E-05
4	DEU	0.3	0.205159983	4.29E-05
5	DEU	0.3	0.205859231	3.88E-05
6	DEU	0.3	0.209195083	3.68E-05
7	DEU	0.3	0.21168465	7.47E-05
8	DEU	0.3	0.215253099	8.38E-05
9	DEU	0.3	0.216959404	9.87E-05
10	DEU	0.3	0.21835951	1.00E-04
11	DEU	0.3	0.217896719	1.12E-04
12	DEU	0.3	0.219182171	1.15E-04
13	DEU	0.3	0.221114809	1.30E-04
14	DEU	0.3	0.221877693	1.12E-04
15	DEU	0.3	0.224635752	8.82E-05
16	DEU	0.3	0.225960079	8.71E-05
17	DEU	0.3	0.230222281	2.09E-04
18	DEU	0.3	0.231630422	2.01E-04
19	DEU	0.3	0.232436725	2.21E-04
