year	country	leontiefreuse	domesticpref	reuse	exports	imports	consumption	maxflow	importshare
1996	LUX	.47263485	.33476561	.50135034	20028.557	16564.074	16107.995	11147.512	.4583745
1996	LVA	.26905847	.35976562	.37549603	2300.4133	2566.3245	5614.2212	1469.6089	.32425052
1996	MEX	.26498485	.56210935	.41639903	99275.953	89773.445	356026.91	61096.402	.19717303
1996	MLT	.47555658	.62119138	.64274913	2118.2627	2989.7881	4382.6318	1617.9921	.4599041
1996	NLD	.31755856	.38398439	.39736268	217152.72	184335.77	367781.13	120140.5	.3151395
1996	POL	.1838164	.45585936	.33244756	34981.328	35401.547	148532.53	21487.621	.19290939
1996	PRT	.27421942	.50107419	.42265391	29019.02	38006.285	119754.49	22211.16	.25546405
1996	ROM	.25355458	.34414062	.36639974	9424.8926	12150.288	38844.293	8177.1938	.25171936
1996	RUS	.066460438	0	.061513789	89997.789	66316.477	366586.91	27868.98	.14524463
1996	RoW	.23340808	.43085939	.35454288	776487.38	1117279	3651165	630399.44	.25234118
1996	SVK	.36443034	.40664062	.5085879	10209.788	12268.023	22565.627	7978.2651	.37430567
1996	SVN	.33002317	.40742189	.43100259	9285.3418	9722.748	20034.791	5913.4316	.33160654
1996	SWE	.2479395	.38007814	.32032329	102366.7	79890.617	237781.86	52178.359	.23486978
1996	TUR	.15488034	.51982421	.31439453	35392.848	45857.664	253691.28	26948.307	.15863086
1996	TWN	.31959701	.37539062	.38893309	133807.56	116964.73	271537.56	73685.227	.28855589
1996	USA	.094749689	.45039064	.17677002	816263.63	892267.25	7952293	488823.69	.10175759
1997	AUS	.12528017	.30039063	.19173405	85657.672	82714.641	409463.09	47777.684	.16705953
1997	AUT	.25894707	.46289063	.36965746	71205.539	73026.523	197266.41	41527.723	.27200803
1997	BEL	.39495733	.43789062	.47456375	164690.69	143810.09	218800.42	93094.477	.37500241
1997	BGR	.37199298	.39648438	.4856101	6196.3501	5302.7749	9774.1123	3978.1111	.33203641
1997	BRA	.084241509	.53095704	.22389074	59446.551	73317.609	838911.44	42661.895	.081612907
1997	CAN	.26240176	.41914064	.33744997	240964.06	215113.23	589860.25	122736.77	.25891542
1997	CHN	.13820522	.26904297	.21948956	207239.22	152472.94	906726.56	113921.45	.13687399
1997	CYP	.30763337	.62705076	.49371433	2076.4211	4019.551	10386.333	1727.5698	.32252511
1997	CZE	.31268388	.32382813	.43603039	26967.137	29732.221	58586.871	19986.061	.34752575
1997	DEU	.1854666	.47226563	.28902078	569372.69	483107.59	1967672.1	265773.5	.19042139
1997	DNK	.26376277	.44648439	.32686278	59901.039	50842.656	146919.63	29412.523	.24582967
1997	ESP	.21663746	.45820314	.34107187	125440.92	135377.56	559745.94	81379.07	.19757758
1997	EST	.39731684	.40898436	.5179913	3067.437	3766.4902	5537.228	2209.5608	.43772653
1997	FIN	.24666233	.37070313	.31926066	46493.844	35691.461	104445.66	23744.902	.23646203
1997	FRA	.20919706	.54560548	.33788452	338361.97	287321.78	1295748.4	173761	.17582765
1997	GBR	.18672499	.39882812	.27693006	362418.13	330836.78	1254296.5	180164.66	.20463523
1997	GRC	.22330791	.59101564	.38799551	11542.936	30845.725	147126.53	10780.374	.1944024
1997	HUN	.3479391	.48867187	.53765649	20632.605	22427.26	46021.535	16416.604	.33647212
1997	IDN	.15446492	.31914061	.24722202	64405.785	60132.031	277335.75	42002.945	.17595764
1997	IND	.10338766	.40585938	.21416758	47568.328	49032.762	428621.09	35813.988	.10296903
1997	IRL	.38511756	.30664063	.43996733	58755.98	46212.121	63627.422	31441.051	.37760121
1997	ITA	.17503506	.48164064	.33471066	273709.31	232698.2	1094974.8	144860.7	.17001601
1997	JPN	.080050036	.43789062	.16265905	464289.44	364293.56	4142119.8	228186.3	.079084061
1997	KOR	.27716199	.43242186	.39654827	168162.03	157672.58	513109.47	116375.3	.23143868
1997	LTU	.34244239	.48007813	.48051512	4464.8936	5563.6318	10525.902	2930.6399	.37113652
1997	LUX	.51746637	.35898438	.5486877	19442.801	16946.412	15056.614	11623.227	.49120867
1997	LVA	.26008874	.36132813	.36266893	2550.0381	2864.4656	6221.3804	1576.9807	.32656813
1997	MEX	.28000963	.59492189	.44856036	113398.04	108932.42	434114.06	73680.984	.19895893
1997	MLT	.45251089	.59492189	.60625684	2044.2731	2760.7222	4160.8936	1516.7439	.44490701
1997	NLD	.32804853	.39492187	.41334072	206768.16	174567.5	339191.06	116680.41	.31974459
1997	POL	.1863945	.45117188	.3398222	36927.273	40806.637	152612.58	22913.02	.21529318
1997	PRT	.27870101	.50400388	.42985013	28310.242	37903.742	115372.04	21719.672	.26380247
1997	ROM	.25831807	.36992186	.37339404	9716.8027	11887.948	37148.004	7584.8335	.25366473
1997	RUS	.06846381	0	.064489409	87131.375	69744.813	381502.41	30180.004	.14882584
1997	RoW	.20933937	.40000001	.32362822	635985.06	1044709.9	3779140.5	595221.75	.23662065
1997	SVK	.37118322	.39726561	.50041437	11021.228	12608.458	22225.805	8007.4458	.3792356
