Variable		TTL: Total																																								
Country		BEL: Belgium																																								
Time		2003																																								
Unit		US Dollar, millions																																								
Column sector (to:)		C01T05: Agriculture, hunting, forestry and fishing	C10T14: Mining and quarrying	C15T16: Food products, beverages and tobacco	C17T19: Textiles, textile products, leather and footwear	C20: Wood and products of wood and cork	C21T22: Pulp, paper, paper products, printing and publishing	C23: Coke, refined petroleum products and nuclear fuel	C24: Chemicals and chemical products	C25: Rubber and plastics products	C26: Other non-metallic mineral products	C27: Basic metals	C28: Fabricated metal products	C29: Machinery and equipment, nec	C30T33X: Computer, Electronic and optical equipment	C31: Electrical machinery and apparatus, nec	C34: Motor vehicles, trailers and semi-trailers	C35: Other transport equipment	"C36T37: Manufacturing nec; recycling"	C40T41: Electricity, gas and water supply	C45: Construction	"C50T52: Wholesale and retail trade; repairs"	C55: Hotels and restaurants	C60T63: Transport and storage	C64: Post and telecommunications	C65T67: Financial intermediation	C70: Real estate activities	C71: Renting of machinery and equipment	C72: Computer and related activities	C73T74: R&D and other business activities	"C75: Public administration and defence; compulsory social security"	C80: Education	C85: Health and social work	C90T93: Other community, social and personal services	C95: Private households with employed persons	CONS: Consumption expenditure	GFCF: Gross Fixed Capital Formation	INVNT: Changes in inventories	CONS_ABR: Direct purchases abroad by residents (imports)	CONS_NONRES: Direct purchases by non-residents (exports)	EXPO: Exports (cross border)	IMPO: Imports (cross border)
Row sector (from:)																																										
TTL_C30T33X: Computer, Electronic and optical equipment		7.6	0.8	29.3	11.6	3.4	12.7	18	56.4	8.8	10.5	15.6	57.1	105.5	649.2	236.2	363.9	11.3	7.5	109.9	239.1	263.8	7.1	26.6	194.4	45.6	7.2	31.9	106.9	73.1	72.5	10.2	99.9	19.4	0	925.5	2478.9	21	208.1	87.4	13856.9	15050.2
TTL_C31: Electrical machinery and apparatus, nec		6.3	0.4	25.2	6.8	2.2	6.1	9.5	28.6	7.2	4.9	44.5	124.5	334.4	160.2	329.3	965.6	18.3	8.7	412.4	531.8	247.2	5.7	22.3	22.2	6.5	4.6	4.8	52.2	22.8	46.2	4	16.1	22.6	0	347.6	910.5	22.9	5.8	20.5	3510.1	3050.8
TTL_C34: Motor vehicles, trailers and semi-trailers		7.1	1.2	38.7	20	4.1	10.3	11.1	38.2	72.3	20.9	74.2	132.6	226.1	16.3	30.9	6758.4	18.7	37.2	25.1	163	759.3	6.9	189.2	6.1	8.4	4.6	5	6.3	104.1	23.8	2.7	8.2	10.2	0	4906.3	3800.6	72.2	4.6	16.8	26377.3	22718.2
TTL_C35: Other transport equipment		7.1	0.2	3.7	1.7	0.3	1.2	1.6	4.5	1	3.1	5.7	14.8	13.3	6	2.6	11.6	344.5	2.2	1.7	16.4	17.4	1	293.2	2.3	3.4	1.4	76.7	1.9	10.1	60.4	0.5	1.8	2.5	0	476	715.8	13	3.3	1.1	1175.7	1269.6
"TTL_C36T37: Manufacturing nec; recycling"		6.2	1.6	87.7	312.8	19.3	56.3	18.6	99.8	26.9	59.2	287.8	158.8	66.2	25.4	39.9	367.7	14.6	441.2	11.3	228.6	330.8	46.6	67.9	23.7	14	18.1	6.2	20.9	148	51.4	26.1	45.4	103.1	0	2238.9	1398	40.1	338.4	194.5	8971.2	10744.9
TTL_C40T41: Electricity, gas and water supply		144.8	61.7	377.5	189.2	48.8	237	141.4	932.7	86.5	290.4	511.9	146.5	71.7	53.5	53.5	154.2	12.6	54.9	565.5	170.3	634.1	257.3	385	109.9	121.7	216.7	7.8	44.7	295.9	274	123.7	341.2	312.9	0	4430.9	106.4	5.6	4.3	0.6	2623.2	3543.7
TTL_C45: Construction		7.8	6.8	133.1	41.1	38.3	110.5	58.5	429.4	42.8	84.2	248.1	139.9	115.2	56.1	67.8	128.5	28.8	32.9	689.9	8159.2	2343.4	241.8	1476.1	116.4	18.4	2473.5	11.8	71	469.2	350.5	131	174.2	292.8	0	443.4	22142.6	34.3	6.9	18.1	1961.3	888.8
"TTL_C50T52: Wholesale and retail trade; repairs"		1027	53.8	4925.7	1676.4	470.5	953.2	1831.7	4233.2	679	820.9	1524.3	1011.6	999	605.4	485.3	2705.2	180.3	774.7	364.7	3670.2	5704.6	1120.8	2230.5	390.6	388.7	177	475.6	358.3	3316.5	568.1	193.9	1234.3	704.4	0	23068.4	5467.2	295.9	412.5	292.9	16094.5	14032
TTL_C55: Hotels and restaurants		2.8	2.5	94.2	46.4	9.1	83.4	16.4	135.4	32.2	63.6	34.4	83	74.8	111.1	50.3	64.7	11.1	21.5	11.1	269	696.5	251	1238	64.3	144.7	112.7	12.6	156.2	829.6	95.2	19.8	331.5	149	0	4703.5	7.4	0.6	3080.5	1854.8	27.8	3137.3
TTL_C60T63: Transport and storage		76.8	100	1222.9	482.8	262.1	707.8	776.3	1399.5	258.6	454	1073.7	315.3	367	184.5	219.2	1070.2	81.5	401.4	149.6	781.1	4416.1	189.3	11380.5	879.1	257.1	128.2	121.5	168.4	907.7	168.9	36	128.2	379.6	0	10849.1	672	31.8	2052.4	1608.3	11751.4	14412.4
