Country;Bending;Reuse;Variance;Covariance;Year;Exports;Imports;Consumption;Max Flow
FRA;0.555859375;0.34134959;5.91E-04;0.001074161;1996;339102.4332;302975.8419;1446853.165;182586.455
GBR;0.397265625;0.290834112;8.32E-05;-0.001178174;1996;334168.1811;313056.0074;1139229.337;175437.5982
GRC;0.556640625;0.347775129;6.44E-04;-8.89E-04;1996;10151.8077;29656.00415;151374.3201;9555.021324
HUN;0.437890625;0.479392759;1.22E-04;-9.31E-04;1996;17439.83085;19801.57442;45337.04271;14114.76803
IDN;0.287207031;0.218127079;1.06E-04;0.001029281;1996;61053.57409;58053.24763;277542.7109;39408.34194
IND;0.412890625;0.217362574;2.01E-04;-0.002114865;1996;44308.73586;45931.41721;394867.2874;32434.90863
IRL;0.312890625;0.44295415;1.13E-04;-9.39E-04;1996;52335.35244;41997.39249;58906.43571;28334.3839
ITA;0.477734375;0.319146959;2.91E-04;5.34E-04;1996;284159.0377;232407.0025;1148930.419;145825.3757
JPN;0.437890625;0.152046239;1.56E-04;-0.004827533;1996;455957.5842;378258.2867;4543004.758;230157.5919
KOR;0.422265625;0.373185752;4.61E-04;-7.04E-04;1996;154773.7847;157516.0102;554234.9279;109917.6278
LTU;0.465234375;0.480336101;1.37E-04;0.001543752;1996;3562.316043;4409.395423;8824.306272;2468.064857
LUX;0.334765625;0.501350356;9.30E-05;-3.15E-04;1996;20028.55714;16564.07421;16107.99477;11147.51195
LVA;0.359765625;0.375496034;9.66E-05;-2.90E-04;1996;2300.413295;2566.324438;5614.221063;1469.608929
MEX;0.562109375;0.416399027;5.99E-04;0.002805864;1996;99275.95422;89773.4419;356026.9034;61096.40397
MLT;0.621191406;0.642749127;1.21E-04;-5.57E-04;1996;2118.262669;2989.78809;4382.631644;1617.992103
NLD;0.383984375;0.397362689;1.35E-04;3.23E-04;1996;217152.7181;184335.7634;367781.1354;120140.5013
POL;0.455859375;0.332447547;1.28E-04;0.001381576;1996;34981.32934;35401.54585;148532.5362;21487.62164
PRT;0.501074219;0.422653923;1.96E-04;-0.001555766;1996;29019.01898;38006.28633;119754.4895;22211.15929
ROM;0.344140625;0.366399734;1.93E-04;-9.34E-04;1996;9424.892373;12150.28824;38844.29106;8177.193926
RUS;0;0.06151379;8.75E-06;-0.00178823;1996;89997.79085;66316.47807;366586.9194;27868.98069
RoW;0.430859375;0.354542895;5.83E-04;0.001213318;1996;776487.3736;1117278.992;3651165.057;630399.4391
SVK;0.406640625;0.508587925;1.24E-04;-4.29E-04;1996;10209.78794;12268.0236;22565.62671;7978.26531
SVN;0.407421875;0.431002576;1.60E-04;1.63E-04;1996;9285.342012;9722.747952;20034.7914;5913.431579
SWE;0.380078125;0.320323293;1.41E-04;-0.001236014;1996;102366.6961;79890.61551;237781.8519;52178.36087
TUR;0.519824219;0.314394546;2.63E-04;-9.55E-04;1996;35392.84755;45857.66369;253691.2793;26948.30639
TWN;0.375390625;0.388933086;1.41E-04;-9.92E-04;1996;133807.5701;116964.7279;271537.5777;73685.22323
USA;0.450390625;0.176770024;2.18E-04;-2.05E-04;1996;816263.6194;892267.2218;7952293.129;488823.6778
AUS;0.300390625;0.191734048;6.63E-05;-0.001102862;1997;85657.67315;82714.63672;409463.087;47777.68403
AUT;0.462890625;0.369657443;1.50E-04;-0.002128619;1997;71205.54041;73026.51982;197266.4123;41527.72136
BEL;0.437890625;0.47456376;1.32E-04;-2.84E-04;1997;164690.6845;143810.0966;218800.4201;93094.47286
BGR;0.396484375;0.485610098;1.13E-04;6.00E-04;1997;6196.350183;5302.774964;9774.112167;3978.111099
BRA;0.530957031;0.223890744;3.08E-04;9.87E-04;1997;59446.55245;73317.60839;838911.4643;42661.89323
CAN;0.419140625;0.337449982;2.26E-04;-0.001544733;1997;240964.0644;215113.2362;589860.2739;122736.7672
CHN;0.269042969;0.219489553;6.13E-05;-2.82E-04;1997;207239.2135;152472.9308;906726.5527;113921.4569
CYP;0.627050781;0.493714326;3.71E-04;-0.001506894;1997;2076.421043;4019.550981;10386.33327;1727.569797
CZE;0.323828125;0.4360304;7.22E-05;-5.34E-04;1997;26967.13733;29732.22021;58586.87296;19986.05964
DEU;0.472265625;0.28902078;1.48E-04;-4.17E-04;1997;569372.663;483107.5825;1967672.119;265773.4895
DNK;0.446484375;0.326862785;1.58E-04;9.52E-04;1997;59901.04041;50842.6571;146919.6243;29412.52409
ESP;0.458203125;0.341071869;2.52E-04;-3.62E-04;1997;125440.9233;135377.5676;559745.9497;81379.06991
EST;0.408984375;0.517991334;7.64E-05;4.07E-04;1997;3067.436959;3766.490322;5537.228075;2209.560799
FIN;0.370703125;0.319260642;1.17E-04;-1.88E-04;1997;46493.84444;35691.45949;104445.6647;23744.90315
FRA;0.545605469;0.337884519;5.53E-04;-0.002753244;1997;338361.9538;287321.7819;1295748.436;173760.9931
GBR;0.398828125;0.276930052;8.46E-05;-8.17E-04;1997;362418.1113;330836.7901;1254296.44;180164.6624
GRC;0.591015625;0.387995504;6.58E-04;-2.35E-04;1997;11542.93582;30845.72429;147126.5306;10780.37378
HUN;0.488671875;0.537656477;1.46E-04;1.50E-04;1997;20632.60493;22427.26055;46021.53416;16416.60435
IDN;0.319140625;0.247222015;1.02E-04;-9.83E-05;1997;64405.78675;60132.03318;277335.7507;42002.94689
IND;0.405859375;0.214167583;2.01E-04;7.44E-04;1997;47568.32646;49032.76208;428621.1045;35813.98634
IRL;0.306640625;0.439967342;1.26E-04;-5.64E-04;1997;58755.98122;46212.12153;63627.42298;31441.04989
ITA;0.481640625;0.33471066;3.17E-04;-0.001036577;1997;273709.3201;232698.1985;1094974.711;144860.6963
JPN;0.437890625;0.162659056;1.74E-04;-1.19E-04;1997;464289.4367;364293.5556;4142119.649;228186.2909
KOR;0.432421875;0.396548262;4.59E-04;8.48E-04;1997;168162.0241;157672.5768;513109.4799;116375.3069
LTU;0.480078125;0.480515136;1.27E-04;-1.92E-04;1997;4464.893428;5563.631869;10525.90197;2930.639879
LUX;0.358984375;0.548687678;7.99E-05;3.17E-04;1997;19442.80068;16946.4129;15056.61469;11623.22692
LVA;0.361328125;0.362668936;1.07E-04;-1.53E-04;1997;2550.038065;2864.465508;6221.380604;1576.980747
MEX;0.594921875;0.448560363;6.05E-04;2.71E-04;1997;113398.0401;108932.4235;434114.0487;73680.98061
MLT;0.594921875;0.60625685;1.21E-04;1.73E-04;1997;2044.273041;2760.722234;4160.893656;1516.743906
NLD;0.394921875;0.413340704;1.29E-04;7.37E-04;1997;206768.1507;174567.5006;339191.0767;116680.41
POL;0.451171875;0.339822205;1.06E-04;0.001488007;1997;36927.2736;40806.63754;152612.5772;22913.02037
PRT;0.504003906;0.429850118;1.86E-04;8.79E-05;1997;28310.24239;37903.74341;115372.0384;21719.67108
ROM;0.369921875;0.373394029;1.77E-04;6.19E-04;1997;9716.802367;11887.9487;37148.0031;7584.833341
RUS;0;0.064489409;9.99E-06;-0.007635314;1997;87131.37815;69744.81281;381502.4192;30180.0039
RoW;0.4;0.323628231;5.79E-04;5.04E-04;1997;635985.0744;1044709.857;3779140.573;595221.7316
SVK;0.397265625;0.500414364;6.04E-05;-1.47E-04;1997;11021.22792;12608.45768;22225.80509;8007.446017
SVN;0.413671875;0.43736685;1.45E-04;6.24E-04;1997;9365.768662;9752.392584;19635.9712;5968.226885
SWE;0.383203125;0.338030024;1.44E-04;-5.72E-04;1997;101699.7712;78082.05815;215802.5154;52064.62852
TUR;0.469140625;0.29487721;2.38E-04;-0.001086131;1997;44182.52044;52401.37994;266665.3007;32186.87021
TWN;0.382421875;0.398478993;1.47E-04;2.89E-04;1997;141549.7847;126404.9276;285142.09;77962.39202
USA;0.451171875;0.176922841;2.21E-04;0.001018781;1997;902571.356;969989.9143;8439901.663;523894.8078
AUS;0.302734375;0.195110355;6.59E-05;4.66E-04;1998;71546.42096;74824.57618;370147.3469;42260.22378
AUT;0.456640625;0.368053926;1.28E-04;-8.92E-04;1998;77143.12285;76640.27493;200346.417;43302.8335
BEL;0.441796875;0.475297012;1.34E-04;1.23E-04;1998;162774.1136;144436.8326;226313.4507;92425.07964
BGR;0.437109375;0.460080097;9.21E-05;0.001676356;1998;5779.999576;5314.216899;11781.53523;3748.42289
BRA;0.532128906;0.224758363;3.30E-04;3.72E-04;1998;58540.88168;70462.45931;811565.141;40338.74817
CAN;0.413671875;0.341164288;1.97E-04;6.91E-04;1998;244423.6825;218842.6943;570410.0426;123106.9313
CHN;0.280175781;0.203798126;6.84E-05;7.11E-04;1998;207431.4183;152027.7865;971775.1186;105787.7608
CYP;0.604589844;0.452492944;3.59E-04;0.0011259;1998;2095.224018;4033.883796;11033.01912;1676.605396
CZE;0.343359375;0.442626551;9.40E-05;7.17E-04;1998;30641.16817;31512.80981;61100.00959;20936.56497
DEU;0.468359375;0.291818013;1.44E-04;0.001117299;1998;600858.4806;510269.0449;1986871.089;278025.9025
DNK;0.459765625;0.339276081;1.71E-04;-2.86E-04;1998;59002.91942;52477.11548;151669.2159;29998.58135
ESP;0.469921875;0.354517078;2.59E-04;0.001323406;1998;132596.0396;150396.2841;592499.1264;87335.06108
EST;0.393359375;0.509063948;8.41E-05;8.35E-04;1998;3484.31168;4203.450652;6250.227453;2499.741065
FIN;0.359765625;0.29915383;9.87E-05;-0.001066591;1998;48939.29474;36485.12293;109403.4611;23573.79476
