Year,Country,LeontiefReuse,,
1995,AUS,0.1217545174863158,,
1995,AUT,0.23849145225646423,,
1995,BEL,0.386761209926326,,
1995,BGR,0.3216307349195708,,
1995,BRA,0.07856513238149623,,
1995,CAN,0.25057265949600055,,
1995,CHN,0.15615194728701529,,
1995,CYP,0.27110147360086784,,
1995,CZE,0.29783598135278705,,
1995,DEU,0.17094257861616766,,
1995,DNK,0.26277599766465737,,
1995,ESP,0.20514467516847254,,
1995,EST,0.37583276643436625,,
1995,FIN,0.23380594226114954,,
1995,FRA,0.1947149485467149,,
1995,GBR,0.19266309104126048,,
1995,GRC,0.18878775091862496,,
1995,HUN,0.2876300935433091,,
1995,IDN,0.1540049484852968,,
1995,IND,0.10437131686061435,,
1995,IRL,0.3851405173416076,,
1995,ITA,0.18657921218175016,,
1995,JPN,0.06268603664398048,,
1995,KOR,0.23888764158567527,,
1995,LTU,0.3268704612966111,,
1995,LUX,0.4511637495316051,,
1995,LVA,0.24983289216606325,,
1995,MEX,0.2607115507884277,,
1995,MLT,0.5078571250686866,,
1995,NLD,0.31392157735860954,,
1995,POL,0.17176544154766177,,
1995,PRT,0.2752119269195393,,
1995,ROM,0.23231186992386332,,
1995,RUS,0.07381738837680107,,
1995,RoW,0.23585776887662385,,
1995,SVK,0.3096830156039515,,
1995,SVN,0.33826548968098813,,
1995,SWE,0.2563775236604125,,
1995,TUR,0.13837233171565236,,
1995,TWN,0.3301356408801587,,
1995,USA,0.09544639551880096,,
1995,Global,0.1908601896312238,,
1996,AUS,0.12228700356392071,,
1996,AUT,0.24987868411334813,,
1996,BEL,0.3894603563321691,,
1996,BGR,0.3317480654188464,,
1996,BRA,0.08245870884954243,,
1996,CAN,0.2481673108991921,,
1996,CHN,0.1411931199814106,,
1996,CYP,0.2935288446730241,,
1996,CZE,0.2812464762838491,,
1996,DEU,0.17382569481117408,,
1996,DNK,0.26180105683458893,,
1996,ESP,0.20402843169141224,,
1996,EST,0.3722250504195364,,
1996,FIN,0.23986221954055384,,
1996,FRA,0.2007405962868031,,
1996,GBR,0.19837579146372067,,
1996,GRC,0.1913959331495432,,
1996,HUN,0.2963273064808193,,
1996,IDN,0.14450577370366083,,
1996,IND,0.10390841325638868,,
1996,IRL,0.38611702618125143,,
1996,ITA,0.16860756764417387,,
1996,JPN,0.07364968508729021,,
1996,KOR,0.250413468108315,,
1996,LTU,0.33191029254424215,,
1996,LUX,0.4726348477997576,,
1996,LVA,0.26905847738959804,,
1996,MEX,0.2649848399549208,,
1996,MLT,0.4755565890788971,,
1996,NLD,0.31755854453648513,,
1996,POL,0.18381639974677313,,
1996,PRT,0.27421942259676474,,
1996,ROM,0.2535545727870681,,
1996,RUS,0.06646043784687408,,
1996,RoW,0.23340807996139115,,
1996,SVK,0.364430328658687,,
1996,SVN,0.3300231839870992,,
1996,SWE,0.24793950411812035,,
1996,TUR,0.15488035177991172,,
1996,TWN,0.3195970177576372,,
1996,USA,0.09474969039860183,,
1996,Global,0.19219610273729132,,
1997,AUS,0.12528017130426167,,
1997,AUT,0.25894706091473274,,
1997,BEL,0.3949573195806102,,
1997,BGR,0.3719929685494728,,
1997,BRA,0.08424151037792148,,
1997,CAN,0.2624017601467201,,
1997,CHN,0.13820521601986716,,
1997,CYP,0.3076333724090188,,
1997,CZE,0.31268388267991953,,
1997,DEU,0.18546659613446595,,
1997,DNK,0.2637627695514224,,
1997,ESP,0.21663745756632546,,
1997,EST,0.3973168334465775,,
1997,FIN,0.24666233729495396,,
1997,FRA,0.20919705616342532,,
1997,GBR,0.18672499175166318,,
1997,GRC,0.22330790500932002,,
1997,HUN,0.3479390976871793,,
1997,IDN,0.1544649190998551,,
1997,IND,0.10338766194715131,,
1997,IRL,0.38511755545343535,,
1997,ITA,0.17503506150203293,,
1997,JPN,0.08005003581889308,,
1997,KOR,0.2771619750436724,,
1997,LTU,0.34244239346826966,,
1997,LUX,0.5174663586624734,,
1997,LVA,0.2600887318942944,,
1997,MEX,0.28000963751470953,,
1997,MLT,0.452510880334413,,
1997,NLD,0.3280485290979281,,
1997,POL,0.18639449782932974,,
1997,PRT,0.2787009936406791,,
1997,ROM,0.2583180667853374,,
1997,RUS,0.06846381215636005,,
1997,RoW,0.20933937106239842,,
1997,SVK,0.37118320858896153,,
1997,SVN,0.33799774944728006,,
1997,SWE,0.26279377859257225,,
1997,TUR,0.17318784110288712,,
1997,TWN,0.3297939620702125,,
1997,USA,0.09558154054810872,,
1997,Global,0.19275416176475765,,
1998,AUS,0.12581062305846774,,
1998,AUT,0.26472225932989474,,
1998,BEL,0.38901497567433124,,
1998,BGR,0.31997543495531916,,
1998,BRA,0.08675443474312071,,
1998,CAN,0.27367825170304017,,
1998,CHN,0.12623840683047693,,
1998,CYP,0.2831534130442271,,
1998,CZE,0.32237134040981685,,
1998,DEU,0.1894846131501741,,
1998,DNK,0.2698494968322927,,
1998,ESP,0.22415632820663076,,
1998,EST,0.39838887920738736,,
1998,FIN,0.23180292270060493,,
1998,FRA,0.21565501216937943,,
1998,GBR,0.1747075855166332,,
1998,GRC,0.22260068187654788,,
1998,HUN,0.40008414176100565,,
1998,IDN,0.21180163425957177,,
1998,IND,0.113081872862236,,
1998,IRL,0.39359233257995124,,
1998,ITA,0.1768253778703845,,
1998,JPN,0.07470392904560291,,
1998,KOR,0.2799865726638388,,
1998,LTU,0.33124086248768203,,
1998,LUX,0.5409830017310494,,
1998,LVA,0.28608486555147394,,
1998,MEX,0.29408120829041273,,
1998,MLT,0.46793472123583046,,
