;Commodities/Industries;111CA;113FF;211;212;213;22;23;321;327;331;332;333;334;335;3361MV;3364OT;337;339;311FT;313TT;315AL;322;323;324;325;326;42;441;445;452;4A0;481;482;483;484;485;486;487OS;493;511;512;513;514;521CI;523;524;525; HS; ORE;532RL;5411;5415;5412OP;55;561;562;61;621;622;623;624;711AS;713;721;722;81; GFGD; GFGN;GFE;GSLG;GSLE;;;;F010;F02S;F02E;F02N;F02R;F030;F040;F050;F06C;F06S;F06E;F06N;F07C;F07S;F07E;F07N;F10C;F10S;F10E;F10N;;;;
IOCode;Name;Farms;Forestry, fishing, and related activities;Oil and gas extraction;Mining, except oil and gas;Support activities for mining;Utilities;Construction;Wood products;Nonmetallic mineral products;Primary metals;Fabricated metal products;Machinery;Computer and electronic products;Electrical equipment, appliances, and components;Motor vehicles, bodies and trailers, and parts;Other transportation equipment;Furniture and related products;Miscellaneous manufacturing;Food and beverage and tobacco products;Textile mills and textile product mills;Apparel and leather and allied products;Paper products;Printing and related support activities;Petroleum and coal products;Chemical products;Plastics and rubber products;Wholesale trade;Motor vehicle and parts dealers;Food and beverage stores;General merchandise stores;Other retail;Air transportation;Rail transportation;Water transportation;Truck transportation;Transit and ground passenger transportation;Pipeline transportation;Other transportation and support activities;Warehousing and storage;Publishing industries, except internet (includes software);Motion picture and sound recording industries;Broadcasting and telecommunications;Data processing, internet publishing, and other information services;Federal Reserve banks, credit intermediation, and related activities;Securities, commodity contracts, and investments;Insurance carriers and related activities;Funds, trusts, and other financial vehicles;Housing;Other real estate;Rental and leasing services and lessors of intangible assets;Legal services;Computer systems design and related services;Miscellaneous professional, scientific, and technical services;Management of companies and enterprises;Administrative and support services;Waste management and remediation services;Educational services;Ambulatory health care services;Hospitals;Nursing and residential care facilities;Social assistance;Performing arts, spectator sports, museums, and related activities;Amusements, gambling, and recreation industries;Accommodation;Food services and drinking places;Other services, except government;Federal general government (defense);Federal general government (nondefense);Federal government enterprises;State and local general government;State and local government enterprises;Sum of Intermediate Selected;Intermediate Not Selected;Total Intermediate;Personal consumption expenditures;Nonresidential private fixed investment in structures;Nonresidential private fixed investment in equipment;Nonresidential private fixed investment in intellectual property products;Residential private fixed investment;Change in private inventories;Exports of goods and services;Imports of goods and services;Federal national defense: Consumption expenditures;Federal national defense: Gross investment in structures;Federal national defense: Gross investment in equipment;Federal national defense: Gross investment in intellectual property products;Nondefense: Consumption expenditures;Federal national nondefense: Gross investment in structures;Federal national nondefense: Gross investment in equipment;Federal national nondefense: Gross investment in intellectual property products;State and local: Consumption expenditures;State and local: Gross investment in structures;State and local: Gross investment in equipment;State and local: Gross investment in intellectual property products;Sum of Final Uses (GDP) Selected;Sum of Final Uses (GDP) Not Selected;Total Final Uses (GDP);Total Commodity Output
 331;Primary metals;94;0;1127;584;457;10;4538;317;1209;76822;78221;35911;10674;20374;38302;12423;3933;8220;4517;243;...;390;38;176;431;1818;379;7;0;0;16;0;1156;...;...;...;...;192;...;47;25;293;144;...;...;4;...;4;2281;422;0;5;2031;35;271;699;122;161;45;17;157;31;285;20;297;457;110;169;...;294;464;311469;...;311468;735;...;...;...;...;390;29280;-85444;...;...;...;...;...;...;...;...;...;...;...;...;-55038;0;-55038;256430
 332;Fabricated metal products;2217;123;1105;736;360;795;77077;3397;3238;5412;38917;29267;13656;9439;32879;11851;3541;4618;12944;711;194;4051;1642;529;8770;6571;1132;273;108;19;1448;345;119;1447;2414;350;1099;1212;196;1388;29;6511;1215;138;38;56;8;122;555;962;76;602;4810;681;1730;2115;369;351;393;22;862;32;582;804;6631;3330;4049;734;355;2430;3020;329202;...;329205;12153;...;11339;...;...;817;23936;-50820;...;...;1971;...;...;...;818;...;...;...;1409;...;1623;0;1623;330828
 333;Machinery;2814;242;2132;4669;3369;864;24926;488;242;1420;3415;32849;911;1713;18721;4476;90;911;2177;34;3;1059;1398;110;2419;1291;744;106;58;25;318;6;71;8;215;116;300;1510;419;167;46;553;282;11;17;69;...;55;904;483;23;348;2069;273;2800;2874;1486;179;219;89;58;17;91;35;1075;4434;692;64;42;2762;846;139702;...;139705;8394;...;192276;...;...;474;104076;-120650;...;...;1413;...;...;...;340;...;...;...;7981;...;194304;0;194304;334009
 334;Computer and electronic products;13;2;7;22;301;192;5063;570;858;1273;3122;6045;76351;3644;13041;9358;797;1653;1331;403;50;1458;1154;187;3354;1532;2459;323;219;25;732;6;14;1;204;6;31;107;76;2646;1242;20348;1722;4956;630;50;145;7;177;226;935;2435;7611;6888;3035;481;1655;2028;221;115;171;17;147;601;512;4527;16038;1339;0;2398;910;220197;...;220198;78646;...;182103;...;364;2050;119262;-272622;...;...;27725;...;...;...;8039;...;...;...;14409;...;159976;0;159976;380174
 335;Electrical equipment, appliances, and components;460;190;14;18;51;60;30459;760;142;1971;2279;10817;6159;8496;4038;2529;87;752;656;51;8;275;114;115;735;773;386;60;72;160;316;5;183;39;156;58;13;88;338;3;1;1967;321;108;58;45;...;29;172;344;499;502;4184;102;1767;649;546;35;264;192;224;13;159;200;1806;2554;811;903;41;2122;1376;95880;...;95880;34242;...;23891;...;4914;1671;26282;-68023;...;...;744;...;...;...;586;...;...;...;2355;...;26661;0;26661;122541
 3361MV;Motor vehicles, bodies and trailers, and parts;840;87;110;414;124;73;6943;597;477;525;955;9387;1425;479;151171;3983;277;293;1328;71;2;448;156;132;667;321;2698;658;725;9;1840;0;89;1;7212;451;2;899;427;555;41;422;37;226;177;37;...;0;190;467;0;14;1721;450;3250;1263;511;262;223;58;648;73;57;71;815;17234;4141;47;1464;5462;371;236583;...;236586;206152;...;195169;...;...;-365;87464;-233932;...;...;491;...;...;...;182;...;...;...;6242;...;261403;0;261403;497989
 3364OT;Other transportation equipment;...;63;...;15;...;0;23;55;...;...;48;309;...;...;404;49191;...;...;...;...;...;...;...;...;...;...;3;1;...;...;...;1161;1434;908;7;39;...;687;...;...;...;1;...;...;...;1;...;...;...;4;...;...;1194;0;27;22;0;...;...;...;36;...;15;...;...;328;19917;290;1;15;107;76306;...;76306;20966;...;41202;...;...;9731;90387;-43159;...;...;29212;...;...;...;3493;...;...;...;1621;...;153454;0;153454;229760
 337;Furniture and related products;3;...;...;...;...;...;16812;979;2;...;1;439;629;3;408;40;3058;292;...;...;...;2;0;...;...;374;425;124;...;0;481;2;...;2;...;...;...;11;...;1;...;79;386;...;...;...;...;4799;13;102;6;1;223;4;1;...;1;125;21;1;71;446;249;3;858;107;...;...;19;1;16;31620;...;31616;44015;...;28458;...;417;-129;3219;-30869;...;...;1;...;...;...;66;...;...;...;3260;...;48438;0;48438;80054
 339;Miscellaneous manufacturing;227;3;6;22;9;4;966;23;266;43;47;2574;12;510;1526;35;42;9849;37;72;249;1;14;11;839;84;591;121;122;2;637;1;2;...;7;6;2;131;79;15;3;101;132;216;89;39;1;2;122;66;31;30;2275;19;1722;785;498;15637;9496;1129;1550;81;285;283;911;1784;227;328;0;8886;69;65984;...;65987;92281;...;40863;...;...;2190;30029;-88733;...;...;131;...;...;...;130;...;...;...;1412;...;78303;0;78303;144289
 311FT;Food and beverage and tobacco products;22184;193;...;...;...;...;...;22;125;4;...;...;...;...;...;...;...;7;129371;8;670;610;749;224;3548;87;620;...;127;7;2;28;...;35;...;...;...;17;...;36;14;...;1;...;...;...;...;...;...;...;...;...;601;104;1;...;4473;1;7099;4200;3373;615;2166;2324;66197;650;1309;-312;287;26430;...;278207;...;278207;458769;...;...;...;...;1867;42137;-59095;...;...;...;...;...;...;...;...;...;...;...;...;443678;0;443678;721885
 313TT;Textile mills and textile product mills;254;104;...;5;...;...;1660;755;372;...;0;911;24;6;2664;946;3556;2377;138;11680;3782;2319;494;63;2;2378;748;39;112;1402;1654;0;...;92;13;...;4;52;2;24;165;4;11;0;4;17;...;5;42;94;...;...;210;4;147;91;25;39;604;737;290;2;596;554;396;800;1205;144;1;1015;7;45841;...;45841;25060;...;3462;...;953;-297;9011;-25794;...;...;...;...;...;...;48;...;...;...;44;...;12487;0;12487;58327
 315AL;Apparel and leather and allied products;46;...;...;...;...;3;...;0;1;...;...;...;1;...;1837;...;...;101;14;403;2729;...;992;13;...;1;796;9;1;1043;79;...;...;...;...;...;...;0;...;...;34;180;0;2;...;...;...;...;...;66;...;...;65;8;237;149;44;25;13;...;205;97;12;4;12;1218;108;7;83;2147;9;12794;...;12794;135748;...;...;...;...;-1258;4586;-126468;...;...;...;...;...;...;...;...;...;...;...;...;12607;0;12607;25401
 322;Paper products;477;3;19;162;41;165;2672;659;1881;1541;2372;2383;1905;1400;2502;856;1400;2260;21288;574;69;41094;11864;308;6146;4850;3342;117;742;208;1513;51;51;10;234;171;85;1331;121;3726;163;345;174;923;260;209;4;5;280;404;313;176;3304;421;2174;248;280;1740;3661;988;431;67;177;2356;3340;837;215;1409;116;10946;10;156569;...;156568;21758;...;...;...;...;10;18548;-24240;...;...;...;...;...;...;...;...;...;...;...;...;16076;0;16076;172644
 323;Printing and related support activities;49;1;4;6;...;16;71;26;...;0;3;34;0;13;6;...;...;0;332;...;109;...;3113;15;712;...;4705;108;159;28;2945;...;9;...;327;44;15;126;11;12035;1090;341;1139;619;4955;4806;...;0;26;320;740;198;6690;1204;2888;38;897;1714;1330;157;871;914;300;997;731;1550;961;1542;410;11463;467;74380;...;74382;2469;...;...;...;...;212;2203;-2546;...;...;...;...;...;...;...;...;...;...;...;...;2338;0;2338;76720
 324;Petroleum and coal products;14789;1152;1673;6458;2357;25249;50174;897;1482;1937;979;1812;620;1273;472;429;353;603;2999;237;30;2136;2071;19011;20419;1154;5452;564;715;402;1921;34554;9049;8619;43388;3133;1089;9747;568;320;79;365;166;1951;274;67;11;43;2217;1135;139;336;1393;1949;4005;1340;659;762;3409;1281;533;269;1036;1690;3503;2630;23489;2147;2753;79843;11180;430941;...;430935;216268;...;...;...;...;4213;40078;-102056;...;...;...;...;...;...;...;...;...;...;...;...;158504;0;158504;589439
 325;Chemical products;18413;2355;5277;1472;980;2759;9644;2473;4980;1904;8009;4523;7020;3470;6866;1869;1950;6250;5716;13604;354;9912;5575;9645;215936;60197;1121;61;66;15;554;3;85;6;255;6;7;613;119;470;159;957;215;180;147;48;0;139;4675;201;153;79;9353;2486;4966;856;637;24571;24790;2032;652;144;860;144;866;4101;2704;1374;82;24983;1232;528320;...;528323;225859;...;3964;...;...;2302;130160;-178233;...;...;...;...;...;...;...;...;...;...;...;...;184052;0;184052;712374
 326;Plastics and rubber products;1769;79;21;1179;158;130;27504;751;1193;784;2447;7776;4473;1984;19912;3491;5148;4494;16656;482;189;2276;607;303;10704;15870;5739;686;1509;270;3235;15;9;1;1578;42;108;2558;137;671;64;1673;235;66;94;441;1;53;461;696;94;237;4087;218;1631;276;742;5893;2542;1038;562;37;203;140;6521;6161;1575;421;20;6899;1301;191320;...;191321;25539;...;161;...;23;388;20348;-34524;...;...;...;...;...;...;20;...;...;...;...;...;11955;0;11955;203275
